MPI_Processes,Size,ComputeTime,IOTime,TotalTime
1,1000,0.373319,,0.516553
2,1414,0.372910,,0.383267
3,1732,0.884387,,0.894765
4,2000,0.707340,,0.718045
5,2236,1.016158,,1.097798
6,2449,0.883687,,0.932568
7,2646,1.078312,,1.155697
8,2828,0.966385,,0.987231
9,3000,1.098529,,1.137818
10,3162,1.017631,,1.225180
11,3317,1.109109,,1.189934
12,3464,1.063456,,1.084240
13,3606,1.115001,,1.157801
14,3742,1.080299,,1.432663
15,3873,1.119431,,1.225659
16,4000,1.092224,,1.120576
17,4123,1.127597,,1.160050
18,4243,1.101598,,1.631482
19,4359,1.129402,,1.270058
20,4472,1.107845,,1.135470
21,4583,1.133847,,1.607043
22,4690,1.108113,,1.275865
23,4796,1.142684,,1.187258
24,4899,1.111867,,1.780266
25,5000,1.143594,,1.304619
26,5099,1.115686,,1.652446
27,5196,1.143044,,1.331306
28,5292,1.120808,,1.152401
29,5385,1.147512,,1.859497
30,5477,1.126852,,1.334205
31,5568,1.151070,,2.343758
32,5657,1.126879,,1.383462
33,5745,1.146277,,1.870934
34,5831,1.132725,,1.441605
35,5916,1.149651,,1.877055
36,6000,1.135472,,1.559079
37,6083,1.146994,,1.838733
38,6164,1.133239,,1.430297
39,6245,1.148255,,2.127422
40,6325,1.134096,,1.970775
41,6403,1.149363,,1.504675
42,6481,1.137302,,2.146479
43,6557,1.147789,,1.463736
44,6633,1.142860,,1.411228
45,6708,1.153683,,2.144712
46,6782,1.143999,,1.391054
47,6856,1.155530,,1.504593
48,6928,1.145893,,2.025710
49,7000,1.156565,,1.562480
50,7071,1.144889,,1.475886
51,7141,1.153415,,2.608230
52,7211,1.153567,,2.436843
53,7280,1.158925,,2.690131
54,7348,1.161973,,2.505940
55,7416,1.169508,,1.745583
56,7483,1.169321,,1.516358
57,7550,1.170339,,2.372798
58,7616,1.171567,,2.465674
59,7681,1.179368,,2.590291
60,7746,1.178231,,2.594256
61,7810,1.188357,,2.585400
62,7874,1.181454,,2.575640
63,7937,1.191637,,2.541284
64,8000,1.191613,,2.551333
65,8062,1.200125,,2.735258
66,8124,1.193228,,2.607479
67,8185,1.196710,,2.695580
68,8246,1.193303,,2.510816
69,8307,1.194854,,2.699631
70,8367,1.200299,,2.961951
71,8426,1.205752,,2.717105
72,8485,1.195770,,2.992275
73,8544,1.202752,,2.932063
74,8602,1.194930,,3.051378
75,8660,1.197819,,3.148221
76,8718,1.201489,,3.049947
77,8775,1.201448,,1.660150
78,8832,1.194301,,3.172407
79,8888,1.208863,,1.751684
80,8944,1.197504,,3.120290
81,9000,1.203308,,3.178108
82,9055,1.193448,,1.838463
83,9110,1.207546,,1.656321
84,9165,1.192742,,1.570738
85,9220,1.197430,,3.178952
86,9274,1.201881,,1.736553
87,9327,1.198388,,3.326349
88,9381,1.203363,,1.984207
89,9434,1.203846,,1.760571
90,9487,1.192013,,1.654626
91,9539,1.202500,,1.713095
92,9592,1.194391,,4.037535
93,9644,1.206791,,1.845551
94,9695,1.191990,,1.837418
95,9747,1.205734,,1.716379
96,9798,1.194592,,1.784894
97,9849,1.206240,,1.761748
98,9899,1.191830,,1.694014
99,9950,1.207708,,1.643492
100,10000,1.193172,,1.681579
101,10050,1.208464,,1.642748
102,10100,1.194361,,3.601951
103,10149,1.205903,,5.213404
104,10198,1.197153,,6.035679
105,10247,1.208206,,5.335441
106,10296,1.202093,,4.935996
107,10344,1.214805,,4.571471
108,10392,1.203251,,4.261248
109,10440,1.215871,,4.189877
110,10488,1.205601,,2.271561
111,10536,1.215321,,1.953745
112,10583,1.200070,,2.498217
113,10630,1.213223,,5.048216
114,10677,1.212072,,4.413039
115,10724,1.211634,,4.160987
116,10770,1.211313,,4.491450
117,10817,1.204307,,2.253133
118,10863,1.204042,,2.073599
119,10909,1.215553,,3.995367
120,10954,1.209733,,4.228961
121,11000,1.219767,,4.316802
122,11045,1.219432,,1.961743
123,11091,1.212312,,1.924617
124,11136,1.214389,,1.980978
125,11180,1.205086,,1.976828
126,11225,1.204590,,4.532885
127,11269,1.216983,,4.026690
128,11314,1.208794,,4.462458
129,11358,1.223854,,4.751764
130,11402,1.223897,,4.263125
131,11446,1.214889,,4.142278
132,11489,1.208411,,4.821127
133,11533,1.222974,,4.766229
134,11576,1.214749,,4.249738
135,11619,1.218396,,4.729845
136,11662,1.221991,,4.839142
137,11705,1.207748,,4.424301
138,11747,1.209313,,4.024926
139,11790,1.224124,,4.472645
140,11832,1.228925,,4.178148
141,11874,1.213912,,4.529239
142,11916,1.214135,,4.303066
143,11958,1.220543,,4.172277
144,12000,1.210795,,4.452963
145,12042,1.216665,,3.838215
146,12083,1.211215,,4.581607
147,12124,1.198754,,4.354694
148,12166,1.204315,,4.673738
149,12207,1.210225,,4.286923
150,12247,1.213043,,4.847467
151,12288,1.200380,,4.121338
152,12329,1.198555,,4.721095
153,12369,1.207931,,4.634928
154,12410,1.217424,,4.783986
155,12450,1.201498,,4.519661
156,12490,1.200049,,4.495652
157,12530,1.210301,,4.558853
158,12570,1.214069,,4.579990
159,12610,1.197739,,4.549249
160,12649,1.192539,,5.043183
161,12689,1.202466,,4.161853
162,12728,1.211202,,4.679145
163,12767,1.189675,,4.467573
164,12806,1.194040,,4.499547
165,12845,1.200004,,5.022989
166,12884,1.208212,,4.901599
167,12923,1.185867,,5.321741
168,12961,1.190511,,4.999575
169,13000,1.201288,,5.068078
170,13038,1.204088,,4.866551
171,13077,1.178537,,4.868556
172,13115,1.189229,,4.548804
173,13153,1.193291,,4.638816
174,13191,1.194447,,4.846598
175,13229,1.191822,,4.368871
176,13266,1.190919,,4.795438
177,13304,1.192778,,5.026037
178,13342,1.189464,,5.445950
179,13379,1.193611,,5.169098
180,13416,1.203837,,5.294111
181,13454,1.185736,,4.617956
182,13491,1.186104,,4.779280
183,13528,1.196388,,4.879047
184,13565,1.195100,,5.269765
185,13601,1.193191,,4.520898
186,13638,1.190309,,5.069117
187,13675,1.188204,,5.075746
188,13711,1.186492,,4.483473
189,13748,1.197107,,4.938306
190,13784,1.203516,,5.965915
191,13820,1.182029,,4.854444
192,13856,1.190916,,5.204095
193,13892,1.196334,,5.257657
194,13928,1.198015,,5.529264
195,13964,1.193758,,5.509552
196,14000,1.187681,,6.027022
197,14036,1.188140,,5.412177
198,14071,1.183827,,6.006264
199,14107,1.191850,,5.875398
200,14142,1.199447,,6.038223
201,14177,1.193880,,5.715377
202,14213,1.183739,,5.934098
203,14248,1.190366,,6.183006
204,14283,1.182671,,5.884943
205,14318,1.196471,,5.449820
206,14353,1.195992,,5.731945
207,14387,1.196784,,5.630793
208,14422,1.188453,,5.899569
209,14457,1.225462,,6.353115
210,14491,1.180476,,6.275861
211,14526,1.195415,,7.217974
212,14560,1.199703,,6.134648
213,14595,1.196368,,6.011688
214,14629,1.183239,,5.565180
215,14663,1.184364,,6.069629
216,14697,1.183240,,6.149200
217,14731,1.191260,,6.090410
218,14765,1.194438,,6.715866
219,14799,1.193932,,6.328767
220,14832,1.185571,,6.596799
221,14866,1.185014,,6.382047
222,14900,1.190745,,5.964374
223,14933,1.191155,,5.892768
224,14967,1.193301,,6.285518
225,15000,1.195960,,5.611116
226,15033,1.197502,,5.827833
227,15067,1.181825,,6.177512
228,15100,1.192306,,6.063104
229,15133,1.189904,,6.271864
230,15166,1.194050,,6.016552
231,15199,1.192302,,6.087006
232,15232,1.202769,,6.211177
233,15264,1.206356,,6.221581
234,15297,1.185612,,5.916258
235,15330,1.190190,,6.303839
236,15362,1.195808,,6.143759
237,15395,1.194220,,6.308362
238,15427,1.197303,,6.508091
239,15460,1.200889,,6.665269
240,15492,1.204406,,6.393560
241,15524,1.190863,,6.047124
242,15556,1.196324,,5.831865
243,15588,1.196245,,6.623472
244,15620,1.195590,,6.793537
245,15652,1.203721,,6.954865
246,15684,1.207539,,6.550482
247,15716,1.206640,,6.840102
248,15748,1.206187,,6.826725
249,15780,1.194089,,7.028993
250,15811,1.194287,,8.016952
251,15843,1.199536,,6.735902
252,15875,1.191943,,7.093891
253,15906,1.203110,,6.560076
254,15937,1.202444,,6.780000
255,15969,1.204627,,7.531935
256,16000,1.207808,,6.907095
